Ticker,Group,RS_Ratio,RS_Momentum
NKG,Thep,97.08,101.13
BSI,Chung_khoan,97.98,101.76
VIB,Ngan_hang,99.86,102.05
KDH,Bat_dong_san,95.86,100.7
FPT,Ban_le_Cong_nghe,99.72,100.49
LPB,Ngan_hang,96.86,100.97
VRE,Bat_dong_san,102.7,102.52
DGW,Ban_le_Cong_nghe,100.29,105.01
PNJ,Ban_le_Cong_nghe,101.0,101.22
POW,Dau_khi,99.52,101.71
SSB,Ngan_hang,98.53,100.9
VNM,Ban_le_Cong_nghe,97.54,101.84
BID,Ngan_hang,99.72,101.21
TPB,Ngan_hang,98.88,101.17
NVL,Bat_dong_san,98.81,102.97
KBC,Bat_dong_san,101.6,100.45
HDB,Ngan_hang,101.87,96.38
FTS,Chung_khoan,95.78,100.26
DIG,Bat_dong_san,97.74,105.94
MSB,Ngan_hang,97.95,101.4
VIX,Chung_khoan,94.78,99.0
MSN,Ban_le_Cong_nghe,99.64,100.68
GAS,Dau_khi,109.7,106.49
SHB,Ngan_hang,98.5,100.96
GVR,VN30,100.25,102.71
BCM,VN30,99.68,100.87
PVD,Dau_khi,104.48,104.58
GEG,Dau_khi,101.38,98.5
VJC,VN30,98.55,98.96
VCI,Chung_khoan,97.67,99.29
HSG,Thep,97.47,101.03
BSR,Dau_khi,101.06,103.47
BVH,VN30,101.77,103.29
FRT,Ban_le_Cong_nghe,103.81,104.04
VCB,Ngan_hang,99.36,101.4
PDR,Bat_dong_san,95.63,102.05
VPB,Ngan_hang,98.0,100.28
MWG,Ban_le_Cong_nghe,99.31,99.22
STB,Ngan_hang,99.3,97.34
VND,Chung_khoan,95.56,99.97
PLX,Dau_khi,102.34,105.15
TCB,Ngan_hang,99.81,100.46
NT2,Dau_khi,100.44,102.47
VHM,Bat_dong_san,110.1,102.25
SZC,Bat_dong_san,98.56,101.83
CTG,Ngan_hang,100.47,101.15
SSI,Chung_khoan,96.19,100.02
SAB,Ban_le_Cong_nghe,98.17,101.1
OCB,Ngan_hang,97.79,101.25
HPG,Thep,97.75,100.99
VIC,Bat_dong_san,104.77,100.9
ACB,Ngan_hang,98.72,101.43
DXG,Bat_dong_san,95.89,101.49
MBB,Ngan_hang,100.66,101.96
EIB,Ngan_hang,96.94,101.75
HCM,Chung_khoan,96.75,101.54
CTS,Chung_khoan,95.86,100.64
TLH,Thep,98.54,102.18
